"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN"
"J3","PJ-202AH","~","PJ-202AH:CUI_PJ-202AH","1","","PJ-202AH"
"U2","L7805CV","","L7805CV:TO255P1040X460X1968-3","1","","L7805C-V"
"J1,J2","54602-908LF","","54602-908LF:AMPHENOL_54602-908LF","2","","54602-908LF"
"U1","Pico","","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1","",""
"R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56","0R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","53","","RC0805JR-070RL"
"R1,R2,R3","3k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3","","RC1206JR-073KL"
"J6,J7","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","61300311121"
"J4,J5","Conn_01x20_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","2","","PH1-20-UA"
"DS1","LCD-20X4B","","LCD-20X48:LCD_LCD-20X4B","1","",""
"D2,D3,D4","LED-G","~","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","3","","LTST-C150GKT"
"D1","D","~","Diode_SMD:Nexperia_CFP3_SOD-123W","1","","MBR230LSFT1G"
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","15","","1206B104K500CT"
"C1","0.33uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","","CL31B334KBFNNNE"
